gene,mean_expression,treatment,source_file,n_ec_cells
Gfap,0.0,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Cldn5,2.0072064618821015,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Pecam1,0.4268584061538463,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Cdh5,0.0969747567764842,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Kdr,0.16796919350427353,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Flt1,1.6006546039573104,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Tek,0.22237356495726507,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Slc2a1,0.5529869213675211,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Mfsd2a,0.08630433965811965,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Abcb1a,0.8102353049366072,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Abcg2,0.4168676813425542,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Tfrc,0.13319211777777776,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Slc7a5,0.10822929641025639,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Vwf,0.13884861897435893,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Cav1,0.12870227374093085,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Plvap,0.042105397777777775,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Ptprc,6.439012991452991e-19,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Aif1,0.00602007321028627,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Pdgfrb,0.0,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Rgs5,0.026067406837606836,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Gfap,0.0,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Aqp4,0.0,Sham,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,585
Cldn5,1.0103518217440632,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Pecam1,0.34288317685827585,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Cdh5,0.054409682455108924,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Kdr,0.18028490744139128,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Flt1,1.666716817518842,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Tek,0.23064314278252473,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Slc2a1,0.47801858838824285,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Mfsd2a,0.06280350906362565,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Abcb1a,0.9380024409971576,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Abcg2,0.40605563301873404,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Tfrc,0.16744611107283155,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Slc7a5,0.07126957054924582,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Vwf,0.058606358467304644,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Cav1,0.2094896458800641,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Plvap,0.0,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Ptprc,2.432184458402802e-17,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Aif1,1.2775871887562299e-12,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Pdgfrb,0.0,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Rgs5,0.19232393472581474,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Gfap,0.0,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Aqp4,0.0,Sham,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,238
Cldn5,1.3996523687682614,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Pecam1,0.6536201424204234,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Cdh5,0.16236786824964278,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Kdr,0.19005147551377638,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Flt1,1.2618684764386843,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Tek,0.1375776938007336,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Slc2a1,0.7683841112311448,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Mfsd2a,0.03669875943440545,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Abcb1a,0.6192766235166424,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Abcg2,0.5548601817044716,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Tfrc,0.14354953619712213,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Slc7a5,0.01833881176445576,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Vwf,0.2511586025747086,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Cav1,0.1659607957417934,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Plvap,0.02451281288080761,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
