gene,mean_D02,mean_Sham,effect_D02_vs_Sham,log2fc_proxy_D02_vs_Sham,pvalue_D02_vs_Sham,uniprot_accession,protein_name,subcellular_location_text,keywords_text,uniprot_status,surface_accessibility,targetability_score,targetability_comment
Rack1,0.7535144823183588,0.22160595559581275,0.5319085267225461,1.7656339907820333,0.020701406102987308,P68040,Small ribosomal subunit protein RACK1,"Cell membrane; Peripheral membrane protein | Cytoplasm | Cytoplasm, perinuclear region | Nucleus | Perikaryon | Cell projection, dendrite",3D-structure | Acetylation | Apoptosis | Biological rhythms | Cell cycle | Cell membrane | Cell projection | Cytoplasm | Developmental protein | Direct protein sequencing | Gastrulation | Growth regulation | Membrane | Nucleus | Phosphoprotein | Reference proteome | Repeat | Ribonucleoprotein | Ribosomal protein | Translation regulation | WD repeat,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Ndufa4,0.7800183602428674,0.25611748404589957,0.5239008761969679,1.6066985565580136,0.003173541259025297,Q62425,Cytochrome c oxidase subunit FA4,Mitochondrion inner membrane; Single-pass membrane protein,3D-structure | Acetylation | Direct protein sequencing | Electron transport | Membrane | Mitochondrion | Mitochondrion inner membrane | Phosphoprotein | Reference proteome | Respiratory chain | Transmembrane | Transmembrane helix | Transport,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Msn,0.7194411405265047,0.19591727084314328,0.5235238696833614,1.8766267202369311,0.011528899153762909,P26041,Moesin,"Cell membrane; Peripheral membrane protein; Cytoplasmic side | Cytoplasm, cytoskeleton | Apical cell membrane; Peripheral membrane protein; Cytoplasmic side | Cell projection, microvillus membrane; Peripheral membrane protein; Cytoplasmic side | Cell projection, microvillus",3D-structure | Acetylation | Cell membrane | Cell projection | Cytoplasm | Cytoskeleton | Membrane | Phosphoprotein | Reference proteome | S-nitrosylation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Prdx1,0.7546552838399607,0.24041878169987427,0.5142365021400864,1.65026409772429,0.012344328841835575,P35700,Peroxiredoxin-1,Cytoplasm,Acetylation | Antioxidant | Cytoplasm | Direct protein sequencing | Disulfide bond | Isopeptide bond | Oxidoreductase | Peroxidase | Phosphoprotein | Redox-active center | Reference proteome | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Tpm4,0.8586881814636399,0.36232617123260674,0.49636201023103316,1.244843016707126,0.003985615987027344,Q6IRU2,Tropomyosin alpha-4 chain,"Cytoplasm, cytoskeleton",Acetylation | Actin-binding | Calcium | Coiled coil | Cytoplasm | Cytoskeleton | Metal-binding | Muscle protein | Phosphoprotein | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Ncl,0.6980632767875719,0.2067113508002071,0.49135192598736477,1.7557352933702615,0.03691290425985098,P09405,Nucleolin,"Nucleus, nucleolus | Cytoplasm",Acetylation | Cytoplasm | Direct protein sequencing | DNA-binding | Isopeptide bond | Methylation | Nucleus | Phosphoprotein | Reference proteome | Repeat | RNA-binding | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Arpc2,0.9155140848334723,0.42585894214195613,0.48965514269151617,1.1042046259451372,0.02051438877082239,Q9CVB6,Actin-related protein 2/3 complex subunit 2,"Cytoplasm, cytoskeleton | Cell projection | Synapse, synaptosome | Nucleus",3D-structure | Acetylation | Actin-binding | Cell projection | Cytoplasm | Cytoskeleton | Direct protein sequencing | Nucleus | Reference proteome | Synapse | Synaptosome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Itm2b,1.3095360346300102,0.8232826731524608,0.4862533614775494,0.6695953398405828,0.0597064212691193,O89051,Integral membrane protein 2B,Golgi apparatus membrane; Single-pass type II membrane protein | Cell membrane; Single-pass type II membrane protein | Endosome membrane; Single-pass type II membrane protein | Secreted | Secreted,Cell membrane | Disulfide bond | Endosome | Glycoprotein | Golgi apparatus | Membrane | Reference proteome | Secreted | Signal-anchor | Transmembrane | Transmembrane helix,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Gnas,1.2028287137593143,0.7170161777611184,0.48581253599819596,0.7463528252061827,0.2314476240105493,P63094,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Cell membrane; Lipid-anchor | Cytoplasm,3D-structure | Alternative splicing | Cell membrane | Cytoplasm | Direct protein sequencing | GTP-binding | Hydrolase | Isopeptide bond | Lipoprotein | Magnesium | Membrane | Metal-binding | Nucleotide-binding | Palmitate | Phosphoprotein | Reference proteome | Transducer | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Tpt1,0.8771683482192992,0.3939360941080338,0.4832322541112654,1.1548901282544197,0.14528623205907154,P63028,Translationally-controlled tumor protein,Cytoplasm,3D-structure | Calcium | Cytoplasm | Direct protein sequencing | Phosphoprotein | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
