gene,mean_D14,mean_Sham,effect_D14_vs_Sham,log2fc_proxy_D14_vs_Sham,pvalue_D14_vs_Sham
Ubash3b,0.000911978784254376,0.0006045774599498808,0.00030740132430449516,0.5922698272144803,0.7866786855124882
Gm7973,0.000591923917714069,0.0002849002849002849,0.0003070236328137841,1.052334936564832,0.6572253889997249
Gm21887,0.0011708641375017936,0.0008639074537948663,0.0003069566837069273,0.4381876417114136,0.7499431779352373
Gm7413,0.0005914534574086527,0.0002849002849002849,0.00030655317250836777,1.051189764066282,0.6574974561009616
Slc9a9,0.0003061682096629985,2.188251061678728e-18,0.00030616820966299633,8.262885102006448,0.37390096630005876
Gm20111,0.0005910083991960577,0.0002849002849002849,0.0003061081142957728,1.050105586804085,0.6577552562844644
2700099C18Rik,0.000829371658848943,0.0005236443810036005,0.00030572727784534254,0.662417350359592,0.7455026450889909
Gm43766,0.0005882183736826186,0.0002828620797720798,0.0003053562939105389,1.0536122819306803,0.6569177372209204
Rpl23a-ps1,0.0005658325622969929,0.00026074709401709405,0.0003050854682798988,1.1147491177041997,0.6427056682599477
Hcar2,0.0003048609384644498,0.0,0.0003048609384644498,8.256732061685698,0.37390096630005887
Gm14130,0.0014192830110763856,0.0011149255578591533,0.0003043574532172323,0.3479376455487358,0.7965098256584302
Gm12906,0.0008739726976119659,0.0005698005698005698,0.00030417212781139614,0.6162512252380457,0.7789719720672943
D1Ertd622e,0.004455609292814439,0.004151741628522327,0.00030386766429211197,0.10188237235918379,0.9056041438320449
Gm9905,0.000588655176758065,0.0002849002849002849,0.0003037548918577801,1.0443594727687302,0.6591252342590644
Gm12834,0.0005884328927857279,0.0002849002849002846,0.0003035326078854433,1.0438155134214315,0.6592552418790162
Gm6039,0.0008661206129146118,0.0005631476890931494,0.00030297292382146246,0.620159782928786,0.7586189389943483
Gm12366,0.0018780848773529545,0.0015753309870956932,0.00030275389025726136,0.2534597403208484,0.8447280735713069
Ly6d,0.0003026649741666631,7.838441595441595e-10,0.00030266419032250354,8.245206297023,0.37390207817166904
Fgf2,0.0008128874138123807,0.0005103630802967965,0.00030252433351558427,0.6704812345009034,0.6818075003632359
Gm4875,0.0005873644207117436,0.0002849002849002849,0.0003024641358114587,1.041197949656145,0.6598816154385535
Gm12182,0.0008419337669326999,0.000539638410080084,0.0003022953568526159,0.640755263718862,0.6737326747425603
Gm45343,0.0005871634051143362,0.0002849002849002849,0.0003022631202140513,1.0407049664865557,0.6599997271501634
Aplnr,0.0005871040209805691,0.0002849002849002849,0.00030220373608028426,1.04055929689907,0.6600346361536581
Hist1h2bm,0.0005869982855537217,0.0002849002849002849,0.00030209800065343677,1.0402998909349417,0.6600968112998428
Nupr1,0.003605224474224659,0.0033032348522475416,0.0003019896219771173,0.1261729704399354,0.8933793112778501
Iqcg,0.0011356719001240716,0.0008338066606174644,0.00030186523950660727,0.44530186459760307,0.7471017565406849
Gm13563,0.0005867046253322056,0.0002849002849002849,0.0003018043404319207,1.0395791950003221,0.6602696154432267
